Component,Component,Test Case,TC Identifier,Test Type,Estimated Duration (min),Priority,Pass/Fail,LPS Ticket,Tester,Date,Test Name
DB Upgrade Client,,Upgrade with standalone Upgrade client,7a,Functional,-,4,,,,,ant > check-upgrade-client-zip-content
DB Upgrade Client,,Upgrade with build-in Upgrade client,7b,Functional,-,5,,,,,PortalSmokeUpgrade.testcase
DL Stores,DL Stores,,,,,,,,,,
DL Stores,,Test Group 1 - Local Document Library Store,,,,,,,,,
DL Stores,,Test case 1a - Advanced File System Store,1a,Functional,,,,,,,DocumentLibraryStore#AdvancedFileSystemStoreSmoke
DL Stores,,Test case 1b - DBStore,1b,Functional,,,,,,,DocumentLibraryStore#DBStoreSmoke
DL Stores,,Test case 1c - File System Store,1c,Functional,,,,,,,DocumentLibraryStore#FileSystemStoreSmoke
DL Stores,,Test Group 2 - Cloud Stores,,,,,,,,,
DL Stores,,Test case 2a - Amazon S3 Store,2a,Manual,,3,,,,,
DL Stores,,Test case 2b - Google Cloud Store (LPS-89224),2b,Manual,,3,,,,,
Friendly URL,Friendly URL,,,,,,,,,,
Friendly URL,,Test Group 1 - Smoke Test Friendly URL,,,,,,,,,
Friendly URL,,Add Friendly URL,1a,Manual,,3,,,,,
Friendly URL,,Edit Friendly URL,1b,Manual,,4,,,,,FriendlyURL#EditFriendlyURL
Friendly URL,,Delete Friendly URL,1c,Functional,,5,,,,,Sites#DeleteSiteFriendlyURL
Friendly URL,,Test Group 2 - Validate Semantics Rules,,,,,,,,,
Friendly URL,,Verify Friendly URL with Special characters is normalized,2a,Functional,,3,,,,,Staging#ValidateFriendlyURLWithSpecialCharacters
Friendly URL,,Verify Uppercase Friendly URL auto generates lowercase,2b,Manual,,2,,,,,
Friendly URL,,Add Friendly URL with unicode characters,2c,Functional,,4,,,,,FriendlyURL#ViewFriendlyURLWithUnicodeChars
Friendly URL,,Test Group 3 - Friendly URL Alias Redirection,,,,,,,,,
Friendly URL,,Alias Redirection,3a,Manual,,4,Skip,,,,https://issues.liferay.com/browse/LRQA-53819
Friendly URL,,Test Group 4 - Friendly URL in different Locale/Language Variations,,,,,,,,,
Friendly URL,,Verify FriendlyURLs in unavailable locales without default locale return a 404 response code,4a,Manual,,3,,,,,
Friendly URL,,Verify FriendlyURLs redirect to default locale when locale is available but not enabled (LPS-79309),4b,Functional,,4,,,,,Locale#VerifyFriendlyURLRedirectToEnableDefualtLocale
Friendly URL,,Verify FriendlyURLs always display the requested locale when locale.prepend.friendly.url.style is set to 2,4c,Manual,,3,,,,,
Friendly URL,,Verify locales for FriendlyURLs when locale is shared but languages are different (LPS-77681),4d,Manual,,4,,,,,https://issues.liferay.com/browse/LRQA-53821
Friendly URL,,Verify FriendlyURLs only display locale once (LPS-81758),4e,Manual,,4,,,,,https://issues.liferay.com/browse/LRQA-53822
Friendly URL,,Test Group 5 - Robustness,,,,,,,,,
Friendly URL,,Verify FriendlyURL copied from Forms page redirects to the Forms page,5a,Functional,,5,,,,,Forms.testcase
Friendly URL,,Verify FriendlyURL can be generated from web content articles and accessed (covered by WEM team),5b,Functional,,5,,,,,PGStaging#PublishWCWithFriendlyURL
Friendly URL,,Verify FriendlyURL can be generated from blog entries and accessed (covered by Collaboration team),5c,Functional,,5,,,,,Ask Collab
Friendly URL,,Verify FriendlyURL can be generated from pages and accessed,5d,Functional,,5,,,,,WidgetPages.testcase
Friendly URL,,Test Group 6 - High Priority SEO,,,,,,,,,
Friendly URL,,Verify canonical url when using a localized friendlyURL,6a,Functional,,5,,,,,FriendlyURL#ViewCanonicalURLWithLocalizedFriendlyURL
Gogo Shell,Gogo Shell,,,,,,,,,,
Gogo Shell,,Test Group 1 - Gogo Shell Access (Terminal),,,,,,,,,
Gogo Shell,,Test case 1a - No default access to gogo shell,1a,Functional,,5,,,,,ant > no-default-access-to-gogo-shell-command
Gogo Shell,,Test case 1b - Access gogo shell command,1b,Functional,,5,,,,,ant > enable-access-to-gogo-shell-command
Gogo Shell,,Test Group 2 - Gogo Shell Access (UI),,,,,,,,,
Gogo Shell,,Test case 2a - Access gogo shell command via portlet,2a,Functional,,5,,,,,Gogoshell#AccessGogoShellCommandViaPortlet
Gogo Shell,,Test case 2b - Site Admin cannot access Gogo Shell,2b,Functional,,4,,,,,Gogoshell#SiteAdminCannotAccessGogoShellPortlet
